Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Principal Investigator_prinInvestigator""), ""LC Principal Investigator"")",Chrome 78.0.3904.97,,,2019-11-20 20:26:42,2019-11-20 20:26:43,"0,621s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/textarea_Brief Summary_description""), ""LC Brief Summary"")",Chrome 78.0.3904.97,,,2019-11-20 20:26:43,2019-11-20 20:26:44,"0,595s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/textarea_Detailed Description_protocolDescription""), ""LC Detailed Description"")",Chrome 78.0.3904.97,,,2019-11-20 20:26:44,2019-11-20 20:26:44,"0,527s",PASSED
"click(findTestObject(""Object Repository/Page_OpenClinica/div_Sponsor      Collaborators(separate by commas)""))",Chrome 78.0.3904.97,,,2019-11-20 20:26:44,2019-11-20 20:26:45,"0,405s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Sponsor_sponsor""), ""LC Sponsor"")",Chrome 78.0.3904.97,,,2019-11-20 20:26:45,2019-11-20 20:26:45,"0,520s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/textarea_Collaborators(separate by commas)__2b0c49""), ""LC Collaborators"")",Chrome 78.0.3904.97,,,2019-11-20 20:26:45,2019-11-20 20:26:46,"0,480s",PASSED
"click(findTestObject(""Object Repository/Page_OpenClinica/input_Select User _Save""))",Chrome 78.0.3904.97,,,2019-11-20 20:26:46,2019-11-20 20:26:47,"1,064s",PASSED
"click(findTestObject(""Object Repository/Page_OpenClinica/a_Change StudySite""))",Chrome 78.0.3904.97,,,2019-11-20 20:26:47,2019-11-20 20:26:48,"0,922s",PASSED
"click(findTestObject(""Object Repository/Page_OpenClinica/input_Default Study (Data Manager)_studyId""))",Chrome 78.0.3904.97,,,2019-11-20 20:26:48,2019-11-20 20:26:48,"0,499s",PASSED
"click(findTestObject(""Object Repository/Page_OpenClinica/input_LibreClinica Test Study (Data Manager_046002""))",Chrome 78.0.3904.97,,,2019-11-20 20:26:48,2019-11-20 20:26:49,"0,775s",PASSED
"click(findTestObject(""Object Repository/Page_OpenClinica/input_LibreClinica Test Study (Data Manager_046002""))",Chrome 78.0.3904.97,,,2019-11-20 20:26:49,2019-11-20 20:26:50,"1,029s",PASSED
"click(findTestObject(""Object Repository/Page_OpenClinica/img""))",Chrome 78.0.3904.97,,,2019-11-20 20:26:50,2019-11-20 20:26:51,"1,068s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Protocol VerificationIRB Approval Dat_68d9db""), ""01-Nov-2019"")",Chrome 78.0.3904.97,,,2019-11-20 20:26:51,2019-11-20 20:26:52,"0,669s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Study Start Date_startDate""), ""02-Nov-2019"")",Chrome 78.0.3904.97,,,2019-11-20 20:26:52,2019-11-20 20:26:52,"0,543s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Study Completion Date_endDate""), ""03-Nov-2019"")",Chrome 78.0.3904.97,,,2019-11-20 20:26:52,2019-11-20 20:26:53,"0,538s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_OpenClinica/select_-Select-                            _31eb25""), ""randomized"", true)",Chrome 78.0.3904.97,,,2019-11-20 20:26:53,2019-11-20 20:26:54,"1,002s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_OpenClinica/select_-Select-                            _78ca45""), ""double_blind"", true)",Chrome 78.0.3904.97,,,2019-11-20 20:26:54,2019-11-20 20:26:55,"0,973s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_OpenClinica/select_-Select-                            _74f527""), ""placebo"", true)",Chrome 78.0.3904.97,,,2019-11-20 20:26:55,2019-11-20 20:26:56,"0,987s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_OpenClinica/select_-Select-                            _0605f9""), ""parallel"", true)",Chrome 78.0.3904.97,,,2019-11-20 20:26:56,2019-11-20 20:26:57,"0,986s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_OpenClinica/select_-Select-                            _5c021a""), ""pharmacokinetics"", true)",Chrome 78.0.3904.97,,,2019-11-20 20:26:57,2019-11-20 20:26:58,"1,066s",PASSED
"click(findTestObject(""Object Repository/Page_OpenClinica/span_Conditions and Eligibility""))",Chrome 78.0.3904.97,,,2019-11-20 20:26:58,2019-11-20 20:26:58,"0,454s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Conditions_conditions""), ""LC Conditions"")",Chrome 78.0.3904.97,,,2019-11-20 20:26:58,2019-11-20 20:26:59,"0,586s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/textarea_Keywords(separate by commas)_keywords""), ""LC Keywords"")",Chrome 78.0.3904.97,,,2019-11-20 20:26:59,2019-11-20 20:26:59,"0,446s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/textarea_Eligibility Criteria_eligibility""), ""LC Eligibity Criteria"")",Chrome 78.0.3904.97,,,2019-11-20 20:26:59,2019-11-20 20:27:00,"0,516s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Minimum Age_ageMin""), ""0"")",Chrome 78.0.3904.97,,,2019-11-20 20:27:00,2019-11-20 20:27:00,"0,459s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Maximum Age_ageMax""), ""100"")",Chrome 78.0.3904.97,,,2019-11-20 20:27:00,2019-11-20 20:27:01,"0,440s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_OpenClinica/select_Yes          No""), ""1"", true)",Chrome 78.0.3904.97,,,2019-11-20 20:27:01,2019-11-20 20:27:02,"0,926s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Expected total enrollment_expectedTot_acb6fa""), ""1000"")",Chrome 78.0.3904.97,,,2019-11-20 20:27:02,2019-11-20 20:27:02,"0,466s",PASSED
"click(findTestObject(""Object Repository/Page_OpenClinica/span_Facility Information""))",Chrome 78.0.3904.97,,,2019-11-20 20:27:02,2019-11-20 20:27:02,"0,491s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Facility Name_facName""), ""LC Facility Name"")",Chrome 78.0.3904.97,,,2019-11-20 20:27:02,2019-11-20 20:27:03,"0,634s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Facility City_facCity""), ""LC Facility City"")",Chrome 78.0.3904.97,,,2019-11-20 20:27:03,2019-11-20 20:27:04,"0,620s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Facility StateProvince_facState""), ""LC Fac State"")",Chrome 78.0.3904.97,This field is limited to 20 characters,,2019-11-20 20:27:04,2019-11-20 20:27:04,"0,581s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Postal Code_facZip""), ""LC Postal Code"")",Chrome 78.0.3904.97,,,2019-11-20 20:27:04,2019-11-20 20:27:05,"0,600s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Facility Country_facCountry""), ""LC Facility Country"")",Chrome 78.0.3904.97,,,2019-11-20 20:27:05,2019-11-20 20:27:06,"0,674s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Facility Contact Name_facConName""), ""LC Facility Name"")",Chrome 78.0.3904.97,,,2019-11-20 20:27:06,2019-11-20 20:27:06,"0,624s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Facility Contact Degree_facConDegree""), ""LC "")",Chrome 78.0.3904.97,,,2019-11-20 20:27:06,2019-11-20 20:27:07,"0,437s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Facility Contact Name_facConName""), ""LC Facility Contact Name"")",Chrome 78.0.3904.97,,,2019-11-20 20:27:07,2019-11-20 20:27:07,"0,710s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Facility Contact Degree_facConDegree""), ""LC Facility Contact Degree"")",Chrome 78.0.3904.97,,,2019-11-20 20:27:07,2019-11-20 20:27:08,"0,743s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Facility Contact Phone_facConPhone""), ""LC Facility Contact Phone"")",Chrome 78.0.3904.97,,,2019-11-20 20:27:08,2019-11-20 20:27:09,"0,802s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_Facility Contact Email_facConEmail""), ""LC.Facility@lc.org"")",Chrome 78.0.3904.97,,,2019-11-20 20:27:09,2019-11-20 20:27:10,"0,655s",PASSED
"click(findTestObject(""Object Repository/Page_OpenClinica/span_Related Information""))",Chrome 78.0.3904.97,,,2019-11-20 20:27:10,2019-11-20 20:27:10,"0,448s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_MEDLINE Identifier_medlineIdentifier""), ""LC Medline Identifier"")",Chrome 78.0.3904.97,,,2019-11-20 20:27:10,2019-11-20 20:27:11,"0,703s",PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_OpenClinica/select_Yes          No_1""), ""1"", true)",Chrome 78.0.3904.97,,,2019-11-20 20:27:11,2019-11-20 20:27:12,"0,929s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_URL Reference_url""), ""LC Url Reference"")",Chrome 78.0.3904.97,,,2019-11-20 20:27:12,2019-11-20 20:27:12,"0,647s",PASSED
"setText(findTestObject(""Object Repository/Page_OpenClinica/input_URL Description_urlDescription""), ""LC Url Description"")",Chrome 78.0.3904.97,,,2019-11-20 20:27:12,2019-11-20 20:27:13,"0,662s",PASSED
"click(findTestObject(""Object Repository/Page_OpenClinica/span_Study Parameter Configuration""))",Chrome 78.0.3904.97,,,2019-11-20 20:27:13,2019-11-20 20:27:13,"0,409s",PASSED
"click(findTestObject(""Object Repository/Page_OpenClinica/input_RequiredOptionalNot Used_subjectPerso_cf04bc""))",Chrome 78.0.3904.97,,,2019-11-20 20:27:13,2019-11-20 20:27:14,"0,482s",PASSED
"click(findTestObject(""Object Repository/Page_OpenClinica/input_YesNoNot Used_interviewerNameRequired""))",Chrome 78.0.3904.97,,,2019-11-20 20:27:14,2019-11-20 20:27:14,"0,430s",PASSED
"click(findTestObject(""Object Repository/Page_OpenClinica/input_YesNoNot Used_interviewDateRequired""))",Chrome 78.0.3904.97,,,2019-11-20 20:27:14,2019-11-20 20:27:15,"0,382s",PASSED
"click(findTestObject(""Object Repository/Page_OpenClinica/input_RequiredOptionalNot Used_eventLocatio_a6fb54""))",Chrome 78.0.3904.97,,,2019-11-20 20:27:15,2019-11-20 20:27:15,"0,382s",PASSED
"click(findTestObject(""Object Repository/Page_OpenClinica/input_LibreClinica Test Study (Data Manager_046002""))",Chrome 78.0.3904.97,,,2019-11-20 20:27:15,2019-11-20 20:27:16,"1,005s",PASSED
